Issue ID,Issue Key,Issue Name,Issue Volume,Category,Severity,Status,Reporters,Assignees,Date Reported,Date Resolved,Issue Response Time Days,Impact Score,Risk Level,Department Affected,Remediation Steps,Cost,KPI/KRI,User ID,Timestamps,Activity Type,User Location,IP Location,Session Duration in Second,Num Files Accessed,Login Attempts,Data Transfer MB,CPU Usage %,Memory Usage MB,Threat Score,Threat Level,Defense Action,Color,Source
ISSUE-0001,KEY-0001,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,High,In Progress,Reporter 9,Assignee 16,2023-10-17,2025-04-21 01:51:53.295556,552.0,60.52,Critical,Legal,Steps to resolve Missing or Inaccurate Asset Records,2129153.0,KPI,User_86,2023-10-17 02:33:00,data_modification,JP,JP,900.0,39.0,10.0,4535.0,29.71714780233249,7185.0,17.154,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,Real
ISSUE-0002,KEY-0002,Unauthorized Access Leading to Data Exposure,1,Data Breach,High,Open,Reporter 6,Assignee 10,2024-09-27,2025-04-21 01:51:53.295556,206.0,77.21,Critical,IT,Steps to resolve Unauthorized Access Leading to Data Exposure,2480099.0,KRI,User_25,2024-09-27 04:42:00,data_modification,FR,FR,900.0,26.0,6.0,7394.0,73.10529989201476,6838.0,20.642000000000003,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,Real
ISSUE-0003,KEY-0003,High-Volume Distributed Denial-of-Service Attack,1,DDOS,High,In Progress,Reporter 9,Assignee 17,2024-10-06,2025-04-21 01:51:53.295556,197.0,36.6,Critical,Sales,Steps to resolve High-Volume Distributed Denial-of-Service Attack,586865.0,KRI,User_5,2024-10-06 08:16:00,file_access,DE,DE,904.0,26.0,17.0,4292.0,38.69798475059518,3299.0,12.22,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,Real
ISSUE-0004,KEY-0004,Supplier Security Compliance Gaps,1,Procurement Security,Medium,In Progress,Reporter 6,Assignee 15,2023-02-12,2025-04-21 01:51:53.295556,799.0,28.88,Critical,C-Suite Executives,Steps to resolve Supplier Security Compliance Gaps,1610682.5,KPI,User_43,2023-02-12 18:06:00,login,IN,IN,900.0,26.0,9.0,5550.0,28.587258419108657,4359.0,9.925999999999998,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,Real
ISSUE-0005,KEY-0005,Non-Compliance with Data Protection Regulations,1,Legal Compliance,Medium,Open,Reporter 1,Assignee 19,2025-04-01,2025-04-21 01:51:53.295556,20.0,42.32,Critical,Legal,Steps to resolve Non-Compliance with Data Protection Regulations,2042780.0,KRI,User_13,2025-04-01 13:29:00,file_access,UK,UK,2092.0,26.0,18.0,3487.5,72.66352446429762,7263.0,12.914,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,Real
ISSUE-0006,KEY-0006,Inconsistent Review of Security Policies,1,Management Oversight,Medium,Resolved,Reporter 1,Assignee 7,2023-11-10,2023-11-12 00:00:00.000000,2.0,30.81,Critical,Sales,Steps to resolve Inconsistent Review of Security Policies,902627.5,KPI,User_23,2023-11-10 18:01:00,login,JP,JP,900.0,26.0,18.0,977.5,51.11471695752786,3823.0,9.911999999999995,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,Real
ISSUE-0007,KEY-0007,Outdated Operating System Components,1,System Vulnerability,Medium,Closed,Reporter 1,Assignee 5,2023-07-24,2023-08-01 00:00:00.000000,8.0,56.23,Critical,Legal,Steps to resolve Outdated Operating System Components,1955260.0,KPI,User_40,2023-07-24 21:41:00,file_access,CN,CN,967.0,26.0,6.0,3862.5,48.8818620224812,5992.0,15.396,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,Real
ISSUE-0008,KEY-0008,Weak Cloud Storage Access Controls,1,Cloud Security Posture,Medium,Open,Reporter 4,Assignee 15,2023-09-22,2025-04-21 01:51:53.295556,577.0,57.74,Critical,Finance,Steps to resolve Weak Cloud Storage Access Controls,2424670.0,KRI,User_51,2023-09-22 16:27:00,login,DE,DE,1659.0,26.0,15.0,2825.0,44.28929670201374,4431.0,15.698,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,Real
ISSUE-0009,KEY-0009,Delayed Patching of Known Vulnerabilities,1,Vulnerability Remediation,Critical,Open,Reporter 8,Assignee 10,2025-03-31,2025-04-21 01:51:53.295556,21.0,5.04,Medium,HR,Steps to resolve Delayed Patching of Known Vulnerabilities,1228622.0,KPI,User_34,2025-03-31 21:31:00,data_modification,IN,IN,1353.0,26.0,10.0,5471.0,71.6922001612636,5799.0,5.808,Medium,Increase Monitoring & Investigate | Limit Data Transfer,Orange,Real
ISSUE-0010,KEY-0010,High-Volume Distributed Denial-of-Service Attack,1,DDOS,Medium,Open,Reporter 1,Assignee 20,2023-01-05,2025-04-21 01:51:53.295556,837.0,41.65,Critical,IT,Steps to resolve High-Volume Distributed Denial-of-Service Attack,1868337.5,KRI,User_74,2023-01-05 13:48:00,file_access,JP,JP,961.0,26.0,9.0,2307.5,30.862721735141022,3184.0,12.48,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,Real
ISSUE-0011,KEY-0011,Successful Phishing Attempt Targeting Executives,1,Phishing Attack,Low,In Progress,Reporter 10,Assignee 1,2024-06-21,2025-04-21 01:51:53.295556,304.0,52.72,Critical,IT,Steps to resolve Successful Phishing Attempt Targeting Executives,358655.0,KRI,User_94,2024-06-21 12:27:00,file_access,EU,EU,1435.0,26.0,18.0,1055.0,75.04062285288128,4343.0,14.094,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange,Real
ISSUE-0012,KEY-0012,Detected Malware Infiltration in Internal Systems,1,Malware,Medium,In Progress,Reporter 6,Assignee 3,2024-01-15,2025-04-21 01:51:53.295556,462.0,80.16,Critical,Sales,Steps to resolve Detected Malware Infiltration in Internal Systems,2447590.0,KRI,User_73,2024-01-15 16:45:00,file_access,IN,UK,900.0,26.0,3.0,6292.5,53.24042842475395,4827.0,19.982,Critical,Isolate Affected System & Restrict User Access | Limit Data Transfer,Orange-Red,Real
ISSUE-0013,KEY-0013,Supplier Security Compliance Gaps,1,Procurement Security,High,Closed,Reporter 2,Assignee 2,2023-10-09,2023-10-17 00:00:00.000000,8.0,42.0,Critical,C-Suite Executives,Steps to resolve Supplier Security Compliance Gaps,2484317.0,KPI,User_38,2023-10-09 03:15:00,file_access,JP,JP,1558.0,31.0,13.0,1121.0,54.67733658975175,3067.0,13.3,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red,Real
ISSUE-0014,KEY-0014,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,Critical,In Progress,Reporter 4,Assignee 3,2023-04-10,2025-04-21 01:51:53.295556,742.0,87.6,Critical,Finance,Steps to resolve Missing or Inaccurate Asset Records,2380079.0,KPI,User_50,2023-04-10 00:14:00,data_modification,DE,DE,900.0,26.0,3.0,1082.0,22.254091227705675,5173.0,22.72,Critical,Immediate System-wide Shutdown & Investigation | Limit Data Transfer,Dark Red,Real
ISSUE-0015,KEY-0015,Outdated Operating System Components,1,System Vulnerability,Low,Closed,Reporter 6,Assignee 9,2024-09-18,2024-09-21 00:00:00.000000,3.0,7.49,High,External Contractors,Steps to resolve Outdated Operating System Components,951677.5,KPI,User_33,2024-09-18 00:03:00,login,EU,EU,1458.0,26.0,9.0,1552.5,72.30271126758663,6108.0,4.497999999999999,Medium,Log Activity for Reference | Limit Data Transfer,Light Yellow,Real
ISSUE-0016,KEY-0016,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,Medium,Open,Reporter 6,Assignee 7,2023-08-12,2025-04-21 01:51:53.295556,618.0,57.17,Critical,Operations,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,2468595.0,KPI,User_25,2023-08-12 19:57:00,file_access,FR,FR,1027.0,27.0,9.0,8120.0,63.04144779320016,4047.0,15.734,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red,Real
ISSUE-0017,KEY-0017,Unauthorized Access Leading to Data Exposure,1,Data Breach,Critical,Resolved,Reporter 10,Assignee 1,2023-03-15,2023-03-19 00:00:00.000000,4.0,3.8,Low,External Contractors,Steps to resolve Unauthorized Access Leading to Data Exposure,228104.0,KRI,User_2,2023-03-15 21:32:00,login,EU,Unknown,1827.0,35.0,10.0,884.0,47.1327104745209,7893.0,4.909999999999999,Medium,Increase Monitoring & Investigate | Limit Data Transfer,Orange,Real
ISSUE-0018,KEY-0018,Weak Cloud Storage Access Controls,1,Cloud Security Posture,Critical,Closed,Reporter 1,Assignee 3,2025-02-06,2025-02-13 00:00:00.000000,7.0,30.57,Critical,HR,Steps to resolve Weak Cloud Storage Access Controls,1868528.0,KRI,User_84,2025-02-06 20:37:00,login,UK,UK,900.0,39.0,3.0,2225.0,42.34922701213731,3654.0,11.114,Critical,Immediate System-wide Shutdown & Investigation | Limit Data Transfer,Dark Red,Real
ISSUE-0019,KEY-0019,Delayed Patching of Known Vulnerabilities,1,Vulnerability Remediation,Low,Open,Reporter 1,Assignee 15,2024-11-17,2025-04-21 01:51:53.295556,155.0,2.0,Low,HR,Steps to resolve Delayed Patching of Known Vulnerabilities,1486997.5,KPI,User_89,2024-11-17 00:08:00,file_access,FR,FR,1379.0,26.0,12.0,872.5,72.64648906977094,7190.0,2.9000000000000004,Low,No Action Needed | Limit Data Transfer,Green,Real
ISSUE-0020,KEY-0020,Weak Cloud Storage Access Controls,1,Cloud Security Posture,Critical,In Progress,Reporter 9,Assignee 9,2025-01-26,2025-04-21 01:51:53.295556,85.0,9.34,High,C-Suite Executives,Steps to resolve Weak Cloud Storage Access Controls,2937734.0,KRI,User_48,2025-01-26 11:53:00,login,JP,JP,2214.0,26.0,13.0,2414.0,44.050558004440745,6033.0,7.118,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,Red,Real
ISSUE-0021,KEY-0021,Weak Cloud Storage Access Controls,1,Cloud Security Posture,Critical,Resolved,Reporter 6,Assignee 12,2023-09-13,2023-09-18 00:00:00.000000,5.0,16.5,Critical,C-Suite Executives,Steps to resolve Weak Cloud Storage Access Controls,1505930.0,KRI,User_12,2023-09-13 22:42:00,data_modification,JP,JP,900.0,26.0,31.0,1022.0,76.79235249730301,3766.0,8.65,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,Red,Real
