Issue ID,Issue Key,Issue Name,Issue Volume,Category,Severity,Status,Reporters,Assignees,Date Reported,Date Resolved,Issue Response Time Days,Impact Score,Risk Level,Department Affected,Remediation Steps,Cost,KPI/KRI,User ID,Timestamps,Activity Type,User Location,IP Location,Session Duration in Second,Num Files Accessed,Login Attempts,Data Transfer MB,CPU Usage %,Memory Usage MB,Threat Score,Threat Level,Defense Action,Is Anomaly,Color
ISSUE-0001,KEY-0001,Access by Unauthorized Personnel Detected,1,Unauthorized Access,Medium,Resolved,Reporter 5,Assignee 8,2023-01-01 03:37:00,2023-01-06 03:37:00.000000,5,10,Critical,Operations,Steps to resolve Access by Unauthorized Personnel Detected,22695.181869658427,KRI,User_7,2023-01-01 21:50:00,data_modification,USA,USA,275,5,3.420463745782774,1.1115811750504658,45.10344107325247,5869.980181740002,5.45,Medium,Routine Monitoring,0,Yellow
ISSUE-0002,KEY-0002,Incomplete Risk Management Framework,1,Risk Management Maturity,Medium,Resolved,Reporter 3,Assignee 1,2023-01-02 16:11:00,2023-01-15 16:11:00.000000,13,3,Low,Sales,Steps to resolve Incomplete Risk Management Framework,9727.529433073445,KPI,User_82,2023-01-03 09:07:00,file_access,Unknown,IN,514,7,3.5956393707991854,3.472374608706266,16.676881734432786,7328.661993015522,3.3,Low,Log for Reference,0,Green-Yellow
ISSUE-0003,KEY-0003,Inadequate Firewall Configurations,1,Network Security,Medium,In Progress,Reporter 6,Assignee 17,2023-01-03 20:33:00,2026-03-03 04:52:05.816519,13,4,Medium,Finance,Steps to resolve Inadequate Firewall Configurations,8988.870085716851,KPI,User_98,2023-01-04 10:38:00,login,AU,IN,386,1,7.376602674027475,0.1,38.76018056574324,6124.603078277284,3.9499999999999997,Low,Log for Reference,0,Green-Yellow
ISSUE-0004,KEY-0004,Increased Exposure due to Insufficient Data Encryption,1,Risk Exposure,High,Closed,Reporter 4,Assignee 20,2023-01-04 20:34:00,2023-01-22 20:34:00.000000,18,10,Critical,Operations,Steps to resolve Increased Exposure due to Insufficient Data Encryption,16013.381220752235,KRI,User_82,2023-01-04 22:11:00,file_access,Unknown,EU,214,9,2.576420033193056,11.850240584347953,27.635319850299563,4977.745262193007,6.4,Medium,Schedule Investigation,0,Yellow-Orange
ISSUE-0005,KEY-0005,Successful Phishing Attempt Targeting Executives,1,Phishing Attack,Medium,Closed,Reporter 2,Assignee 13,2023-01-05 22:54:00,2023-01-10 22:54:00.000000,5,3,Low,IT,Steps to resolve Successful Phishing Attempt Targeting Executives,8340.177753190585,KRI,User_88,2023-01-06 05:22:00,file_access,Unknown,UK,3211,14,6.183881386610243,4.615185045520009,47.030521003627186,20423.427945747262,3.45,Low,Log for Reference,0,Green-Yellow
ISSUE-0006,KEY-0006,Insufficient Access Control Measures,1,Control Effectiveness,Medium,Open,Reporter 6,Assignee 9,2023-01-06 14:42:00,2026-02-06 04:52:05.816519,8,9,Critical,Operations,Steps to resolve Insufficient Access Control Measures,10593.057642182097,KPI,User_46,2023-01-07 01:25:00,login,CN,DE,256,1,7.132671873074095,0.1,35.45209885585571,4528.24834033456,5.55,Medium,Routine Monitoring,0,Yellow
ISSUE-0007,KEY-0007,Insufficient Coverage in Annual Risk Assessment,1,Risk Assessment Coverage,Low,Closed,Reporter 4,Assignee 14,2023-01-07 13:28:00,2023-01-16 13:28:00.000000,9,6,High,C-Suite Executives,Steps to resolve Insufficient Coverage in Annual Risk Assessment,5194.334469202634,KPI,User_23,2023-01-07 22:25:00,file_access,DE,FR,725,10,5.281579222661818,0.4080898886291632,33.844756591146236,8565.481272024586,4.15,Medium,Log Activity for Reference,0,Light Yellow
ISSUE-0008,KEY-0008,Incomplete Risk Management Framework,1,Risk Management Maturity,Low,In Progress,Reporter 6,Assignee 3,2023-01-08 19:12:00,2026-02-18 04:52:05.816519,18,5,Medium,HR,Steps to resolve Incomplete Risk Management Framework,5678.547427410073,KPI,User_99,2023-01-09 10:27:00,data_modification,USA,USA,482,5,2.95010871445911,5.266716113662489,50.50206761961779,4853.672317542121,3.05,Low,No Action Needed,0,Green
ISSUE-0009,KEY-0009,Detected Malware Infiltration in Internal Systems,1,Malware,Critical,In Progress,Reporter 10,Assignee 2,2023-01-09 15:26:00,2026-03-05 04:52:05.816519,29,10,Critical,Operations,Steps to resolve Detected Malware Infiltration in Internal Systems,51172.31585841101,KRI,User_22,2023-01-10 10:59:00,data_modification,DE,DE,4564,8,13.52978451913782,44.176917676245026,50.51923784934347,26473.38438539697,7.4,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,0,Red
ISSUE-0010,KEY-0010,Weak Authentication Protocols,1,Access Control,High,In Progress,Reporter 6,Assignee 2,2023-01-10 22:33:00,2025-12-25 04:52:05.816519,13,10,Critical,Finance,Steps to resolve Weak Authentication Protocols,17808.83152939557,KPI,User_71,2023-01-11 21:02:00,data_modification,Unknown,USA,538,7,11.99836442740628,4.657216376435612,36.88328569046364,7963.604530106149,6.75,Medium,Schedule Investigation,0,Yellow-Orange
ISSUE-0011,KEY-0011,Supplier Security Compliance Gaps,1,Procurement Security,Low,Open,Reporter 5,Assignee 16,2023-01-11 02:07:00,2026-03-14 04:52:05.816519,17,4,Medium,HR,Steps to resolve Supplier Security Compliance Gaps,3503.5561400726556,KPI,User_29,2023-01-12 01:08:00,login,AU,DE,126,1,2.8032860415846383,0.1,29.634048998856937,4433.284119990967,2.8499999999999996,Low,No Action Needed,0,Green
ISSUE-0012,KEY-0012,Unauthorized Access Leading to Data Exposure,1,Data Breach,High,Resolved,Reporter 5,Assignee 6,2023-01-12 01:30:00,2023-01-28 01:30:00.000000,16,10,Critical,Sales,Steps to resolve Unauthorized Access Leading to Data Exposure,49647.64343400357,KRI,User_44,2023-01-13 00:25:00,data_modification,JP,AU,1677,11,13.16930093599796,0.8102813687450915,15.141770580163225,10493.130965238151,7.0,High,Restrict User Activity & Monitor Logs | Lock Account & Alert,0,Orange-Red
ISSUE-0013,KEY-0013,Insufficient Access Control Measures,1,Control Effectiveness,High,Resolved,Reporter 7,Assignee 7,2023-01-14 00:40:00,2023-01-22 00:40:00.000000,8,10,Critical,IT,Steps to resolve Insufficient Access Control Measures,18059.679646780027,KPI,User_20,2023-01-14 04:38:00,data_modification,JP,DE,1138,8,5.469489462288428,19.14009782412768,34.605955355191334,7584.3497195832515,6.75,Medium,Schedule Investigation,0,Yellow-Orange
ISSUE-0014,KEY-0014,Unauthorized Access Leading to Data Exposure,1,Data Breach,Critical,Open,Reporter 6,Assignee 6,2023-01-15 01:12:00,2025-11-24 04:52:05.816519,16,10,Critical,C-Suite Executives,Steps to resolve Unauthorized Access Leading to Data Exposure,76487.74481556067,KRI,User_22,2023-01-15 08:09:00,file_access,IN,CANADA,155,17,7.2575443798859105,13.528978174878718,27.224156395924094,5031.343119674483,7.2,High,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,0,Red
