D_Loss_Real,D_Loss_Fake,G_Loss
0.6591717,0.72628736,0.6949768
0.65758026,0.683829,0.67295384
0.64509916,0.6628603,0.6564738
0.631752,0.6478149,0.64259356
0.6209579,0.63573164,0.6317648
0.6122291,0.62430346,0.621567
0.6038124,0.6164988,0.6142072
0.59799963,0.609017,0.60704255
0.5912257,0.6005979,0.599236
0.58453035,0.5937265,0.5929854
0.57891345,0.58791614,0.587073
0.57387125,0.58359265,0.5833603
0.5710488,0.57860607,0.5783866
0.5667893,0.57261854,0.5727308
0.56165737,0.56773967,0.5678561
0.55734426,0.5625851,0.5641213
0.5542947,0.55919755,0.56009746
0.5505823,0.5554616,0.5570134
0.54804647,0.551505,0.55305314
0.54438436,0.54819155,0.5503425
0.5421546,0.54499704,0.5472805
0.5394565,0.5425047,0.5443162
0.5367475,0.5396207,0.54149777
0.53425336,0.53688526,0.5389842
0.5320237,0.53485936,0.53685015
0.5301883,0.5322757,0.5344225
0.5280026,0.53021,0.53202885
0.5258522,0.5282933,0.53031033
0.52434784,0.5261813,0.52846044
0.52270734,0.52506375,0.5269881
0.52144843,0.5233298,0.5250964
0.5197556,0.5220807,0.52394813
0.51875144,0.52066207,0.5225462
0.517464,0.51924956,0.5210717
0.51616406,0.5181436,0.51997447
0.51520914,0.5166568,0.51833206
0.5137389,0.51568145,0.51749635
0.51300544,0.5151095,0.5167825
0.51242095,0.51436603,0.51578474
0.5115203,0.5131815,0.51475114
0.51060045,0.51222575,0.51385903
0.50982964,0.51158834,0.5131954
0.5092728,0.51078266,0.5123452
0.5084848,0.5098883,0.51151687
0.50779635,0.509099,0.5105234
0.506862,0.50821954,0.50984645
0.5062722,0.5076034,0.5090547
0.50555295,0.5066976,0.5082174
0.5048016,0.5061185,0.5075056
0.50417674,0.5053794,0.50684464
0.50358117,0.5048174,0.5059959
0.5027925,0.5041585,0.5054748
0.5023446,0.5035885,0.5049189
0.5018227,0.50307596,0.50434315
0.5013191,0.5025053,0.50371265
0.5007296,0.5018588,0.5029236
0.5000172,0.5011975,0.5023574
0.4994894,0.50072473,0.5018859
0.49907333,0.50026214,0.50131667
0.49853772,0.49974766,0.5008707
0.49814543,0.4993077,0.5002567
0.49759078,0.49874762,0.49969774
0.49706447,0.49816254,0.49915966
0.49657738,0.4977613,0.49879834
0.49626085,0.49735233,0.49834266
0.49584156,0.49689832,0.49786276
0.49540848,0.49641517,0.49737328
0.49494937,0.49588713,0.49680033
0.49441773,0.4954111,0.4963286
0.49397674,0.49485016,0.4957203
0.49339297,0.49427572,0.4952479
0.49296045,0.49387962,0.49479622
0.49254826,0.49348834,0.49444562
0.4922165,0.49321797,0.49417296
0.4919787,0.49311033,0.4940685
0.49190024,0.49277908,0.49364096
0.49150512,0.49244463,0.49332002
0.49121323,0.49211925,0.4929963
0.49092716,0.49182597,0.4926493
0.49060145,0.49142894,0.49221975
0.4901986,0.4910155,0.4918469
0.4898559,0.49068978,0.49150336
0.48954213,0.49043125,0.49120575
0.48926163,0.4901245,0.4909364
0.48901355,0.48991293,0.49064156
0.4887385,0.4897018,0.49048918
0.4886115,0.48947257,0.4902269
0.48837292,0.4892179,0.48998868
0.48815542,0.48899114,0.4897737
0.48796144,0.48879915,0.48950976
0.48771548,0.48851287,0.48924446
0.4874717,0.48826322,0.4889931
0.48724085,0.48799694,0.48868
0.48694223,0.487718,0.48839092
0.486676,0.4874815,0.48824024
0.4865456,0.48725402,0.4879891
0.4863154,0.487014,0.48775795
0.48609924,0.48679382,0.4874941
0.48585188,0.48653284,0.48720208
0.4855783,0.4863,0.4869847
0.48537534,0.48607346,0.4867729
0.4851791,0.48588106,0.4865551
0.4849803,0.48571074,0.48637173
0.48481223,0.4855948,0.48622376
0.48468047,0.48538163,0.48604596
0.48451725,0.48523545,0.48587918
0.48436502,0.48504996,0.48565736
0.48415768,0.4848449,0.48545372
0.48396978,0.48461854,0.4852028
0.48373473,0.4844064,0.485024
0.48356918,0.48432735,0.48498985
0.48354822,0.48424584,0.48485142
0.48342147,0.4840363,0.4846606
0.48324808,0.48386997,0.4844617
0.4830612,0.48374575,0.48435017
0.48296034,0.4835696,0.484181
0.4828019,0.4834044,0.48402643
0.48266065,0.4832599,0.4838618
0.4825075,0.483141,0.4837544
0.48241195,0.4830058,0.48362494
0.48229536,0.48289472,0.48351833
0.48219797,0.48285174,0.48346907
0.48216093,0.48274073,0.48332247
0.48202646,0.482603,0.48316294
0.48187587,0.48242098,0.48298547
0.48170862,0.4822902,0.48286244
0.48159918,0.4821398,0.4827095
0.48145637,0.48200113,0.4825711
0.48132598,0.4818699,0.48242092
0.48118454,0.48171195,0.48225245
0.4810302,0.48158765,0.48212785
0.48091075,0.4814938,0.48203236
0.48082638,0.4813952,0.4819141
0.4807171,0.48126546,0.48177433
0.48058438,0.48117375,0.4817096
0.4805293,0.48110193,0.48160523
0.48043358,0.48095852,0.4814362
0.4802745,0.48085654,0.48133287
0.4801802,0.4807695,0.48127583
0.48013029,0.48065838,0.48114783
0.4800103,0.4805339,0.4810441
0.47991577,0.48041844,0.48092383
0.47980314,0.4802982,0.48079216
0.47968024,0.48019686,0.4807158
0.47961292,0.48010638,0.48060706
0.47950992,0.47999862,0.48049143
0.4794044,0.47988236,0.4803936
0.47931278,0.47980607,0.48030967
0.47923553,0.4797168,0.48022076
0.47915524,0.47961763,0.48011568
0.47905716,0.4795072,0.47997746
0.47892508,0.47937885,0.47986302
0.47881827,0.47929466,0.47977683
0.47874036,0.4792028,0.4796682
0.47863802,0.4791171,0.47959036
0.4785656,0.47903773,0.47948602
0.4784676,0.478945,0.47938552
0.47837484,0.47884226,0.47928053
0.47827524,0.4787321,0.4791508
0.47815332,0.47864324,0.4790842
0.4780918,0.4785372,0.47897264
0.47798556,0.47845283,0.4788956
0.4779157,0.47836667,0.47880235
0.47782904,0.47827458,0.478677
0.47770795,0.4781615,0.4786159
0.47765434,0.47809312,0.47850934
0.4775533,0.47800595,0.47842276
0.47747198,0.4779173,0.47834125
0.47739697,0.477847,0.47827184
0.47733447,0.4777694,0.4781743
0.4772415,0.4776779,0.478109
0.47718158,0.47759816,0.47802275
0.47710043,0.4775094,0.47789654
0.4769802,0.4774023,0.4778245
0.47691363,0.4773247,0.4777525
0.47684738,0.4772464,0.47766602
0.47676542,0.47716826,0.47758743
0.4766922,0.47712094,0.4775387
0.47664875,0.47704485,0.47746205
0.47657675,0.47696647,0.4773895
0.47650903,0.47691074,0.47732273
0.4764476,0.47686225,0.47726554
0.47639495,0.47680536,0.4772175
0.47635227,0.47674063,0.47714368
0.47628358,0.47667387,0.47706342
0.4762077,0.47659883,0.47698975
0.47613934,0.47650924,0.47690043
0.47605395,0.47642872,0.47683543
0.47599357,0.47637308,0.47676185
0.47592464,0.47629738,0.47668603
0.47585374,0.4762314,0.4766113
0.47578308,0.47617522,0.4765636
0.47573948,0.47612438,0.47651115
0.47569153,0.4760697,0.47643727
0.4756222,0.47600228,0.47637433
0.47556335,0.4759409,0.47630855
0.4755018,0.4759071,0.47627452
0.47547275,0.4758594,0.47621906
0.4754204,0.4758628,0.47620878
0.47541457,0.4757832,0.4761421
0.47535253,0.47573528,0.47609374
0.4753081,0.47574893,0.4760848
0.47530252,0.47567743,0.47601002
0.47523203,0.47559798,0.47593015
0.47515675,0.47554952,0.47591478
0.47514513,0.4755254,0.475877
0.4751117,0.47547725,0.47583228
0.47506902,0.47542423,0.47577226
0.47501308,0.47537246,0.47570693
0.4749523,0.4753143,0.47567096
0.47491992,0.47526285,0.47561473
0.47486684,0.47522852,0.47557506
0.47483048,0.47516128,0.4754974
0.4747575,0.4751242,0.47547552
0.47473827,0.47506592,0.47542384
0.47469035,0.47501713,0.4753758
0.47464624,0.47497004,0.47531012
0.4745832,0.47491062,0.4752505
0.47452825,0.47486416,0.47520626
0.4744863,0.47483587,0.47517875
0.47446206,0.47479263,0.47512835
0.47441506,0.47473782,0.47506243
0.4743531,0.47467616,0.47500935
0.4743029,0.47464225,0.47497687
0.474273,0.4746242,0.47494873
0.47424898,0.47458085,0.47490394
0.47420582,0.4745342,0.47484437
0.47415072,0.47447854,0.47479147
0.47410113,0.4744435,0.4747586
0.47407043,0.4743935,0.4747014
0.4740162,0.47435248,0.47465122
0.4739696,0.4742925,0.47460717
0.47392827,0.47427014,0.4745735
0.473897,0.47422504,0.47454044
0.47386783,0.4741849,0.47449732
0.47382784,0.47414014,0.47442347
0.4737568,0.47406784,0.4743829
0.47371995,0.4740309,0.47433618
0.47367498,0.4739883,0.47429708
0.47363788,0.473952,0.4742499
0.47359335,0.47390354,0.4742107
0.4735571,0.47385356,0.4741538
0.47350326,0.473799,0.4741036
0.473455,0.47375217,0.47405827
0.47341236,0.473707,0.47402206
0.47337896,0.4736757,0.47398016
0.47334036,0.47363386,0.4739441
0.4733065,0.47359428,0.47389528
0.47326037,0.4735498,0.47385252
0.4732205,0.4735213,0.47381994
0.47319034,0.47347417,0.47377482
0.4731475,0.47343916,0.47374442
0.47312006,0.47341153,0.47370374
0.47308198,0.473371,0.47366604
0.47304666,0.47333583,0.47362608
0.47300872,0.47329736,0.4735892
0.4729742,0.47326443,0.4735481
0.472936,0.47321323,0.47351
0.47290018,0.473196,0.47349122
0.47288388,0.47317004,0.47346273
0.47285745,0.4731375,0.4734156
0.47281227,0.47309306,0.47337908
0.47277886,0.4730691,0.47334743
0.47274926,0.47303265,0.47331768
0.47272202,0.47300988,0.47329617
0.47270286,0.47297657,0.47325286
0.47266153,0.472947,0.4732282
0.4726392,0.4729127,0.4731954
0.47260845,0.47288513,0.4731628
0.47257835,0.47284675,0.4731184
0.47253624,0.472812,0.47309053
0.47251064,0.47282097,0.47309938
0.4725217,0.47279266,0.47306797
0.47249228,0.47276255,0.473037
0.472463,0.4727368,0.4730006
0.47242922,0.47270036,0.47296777
0.47239846,0.47267157,0.47293803
0.4723708,0.4726393,0.4728964
0.47233137,0.4726035,0.47286707
0.4723036,0.47257522,0.47283438
0.47227308,0.4725394,0.4727954
0.4722365,0.4725291,0.47278428
0.47222728,0.47249064,0.47274497
0.4721902,0.47248194,0.47274137
0.4721882,0.47245342,0.47271064
