Issue ID,Issue Key,Issue Name,Issue Volume,Category,Severity,Status,Reporters,Assignees,Date Reported,Date Resolved,Issue Response Time Days,Impact Score,Risk Level,Department Affected,Remediation Steps,Cost,KPI/KRI,User ID,Timestamps,Activity Type,User Location,IP Location,Session Duration in Second,Num Files Accessed,Login Attempts,Data Transfer MB,Threat Score,Threat Level,Defense Action
ISSUE-0201,KEY-0201,Incomplete Risk Management Framework,1,Risk Management Maturity,Medium,Resolved,Reporter 8,Assignee 19,2024-10-23,2024-10-24 00:00:00.000000,1,19.23,Critical,Finance,Steps to resolve Incomplete Risk Management Framework,2378635.0,KPI,User_87,2024-10-23 05:44:00,data_modification,USA,IN,900,26,6,1812.5,8.446,High,Lock Account & Alert
ISSUE-0202,KEY-0202,Successful Phishing Attempt Targeting Executives,1,Phishing Attack,Low,In Progress,Reporter 8,Assignee 1,2023-07-08,2024-11-20 10:01:53.785164,501,17.88,Critical,HR,Steps to resolve Successful Phishing Attempt Targeting Executives,1703750.0,KRI,User_19,2023-07-08 04:20:00,login,JP,JP,963,26,12,3227.5,7.676,High,Lock Account & Alert
ISSUE-0203,KEY-0203,Supplier Security Compliance Gaps,1,Procurement Security,Medium,In Progress,Reporter 6,Assignee 11,2024-01-19,2024-11-20 10:01:53.785164,306,90.51,Critical,HR,Steps to resolve Supplier Security Compliance Gaps,1456792.5,KPI,User_68,2024-01-19 01:22:00,login,JP,JP,979,26,9,3590.0,23.102,Critical,Immediate Response
ISSUE-0204,KEY-0204,Non-Compliance with Data Protection Regulations,1,Legal Compliance,High,In Progress,Reporter 3,Assignee 8,2023-12-22,2024-11-20 10:01:53.785164,334,24.78,Critical,Operations,Steps to resolve Non-Compliance with Data Protection Regulations,2799137.0,KRI,User_18,2023-12-22 23:39:00,data_modification,JP,JP,900,28,13,2705.0,10.856,Critical,Immediate Response
ISSUE-0205,KEY-0205,Outdated Operating System Components,1,System Vulnerability,Medium,Resolved,Reporter 2,Assignee 11,2023-09-16,2023-09-20 00:00:00.000000,4,25.84,Critical,Finance,Steps to resolve Outdated Operating System Components,527565.0,KPI,User_81,2023-09-16 11:26:00,data_modification,CANADA,CANADA,904,26,6,977.5,9.968,Critical,Immediate Response
ISSUE-0206,KEY-0206,Outdated Operating System Components,1,System Vulnerability,Low,Open,Reporter 2,Assignee 13,2023-04-16,2024-11-20 10:01:53.785164,584,65.29,Critical,HR,Steps to resolve Outdated Operating System Components,1300767.5,KPI,User_95,2023-04-16 12:13:00,login,JP,IN,900,26,18,21542.5,17.158,Critical,Immediate Response
ISSUE-0207,KEY-0207,Access by Unauthorized Personnel Detected,1,Unauthorized Access,High,In Progress,Reporter 8,Assignee 16,2023-02-08,2024-11-20 10:01:53.785164,651,68.38,Critical,IT,Steps to resolve Access by Unauthorized Personnel Detected,755783.0,KRI,User_13,2023-02-08 12:40:00,data_modification,AU,AU,2120,26,17,7388.0,19.576,Critical,Immediate Response
ISSUE-0208,KEY-0208,Successful Phishing Attempt Targeting Executives,1,Phishing Attack,High,Resolved,Reporter 6,Assignee 19,2023-02-17,2023-02-21 00:00:00.000000,4,24.82,Critical,Sales,Steps to resolve Successful Phishing Attempt Targeting Executives,990818.0,KRI,User_74,2023-02-17 01:40:00,file_access,USA,USA,1433,26,10,1976.0,10.664000000000001,Critical,Immediate Response
ISSUE-0209,KEY-0209,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,Low,Resolved,Reporter 5,Assignee 3,2024-06-16,2024-06-18 00:00:00.000000,2,58.14,Critical,Operations,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,1708005.0,KPI,User_17,2024-06-16 18:35:00,data_modification,USA,USA,900,30,12,8775.0,15.328,Critical,Immediate Response
ISSUE-0210,KEY-0210,Detected Malware Infiltration in Internal Systems,1,Malware,Low,Open,Reporter 9,Assignee 5,2023-04-16,2024-11-20 10:01:53.785164,584,51.98,Critical,Legal,Steps to resolve Detected Malware Infiltration in Internal Systems,1892552.5,KRI,User_88,2023-04-16 18:55:00,data_modification,UK,UK,1593,26,12,5562.5,14.496,Critical,Immediate Response
