Issue ID,Issue Key,Issue Name,Issue Volume,Category,Severity,Status,Reporters,Assignees,Date Reported,Date Resolved,Issue Response Time Days,Impact Score,Risk Level,Department Affected,Remediation Steps,Cost,KPI/KRI,User ID,Timestamps,Activity Type,User Location,IP Location,Session Duration in Second,Num Files Accessed,Login Attempts,Data Transfer MB,CPU Usage %,Memory Usage MB,Threat Score,Threat Level,Defense Action
ISSUE-0201,KEY-0201,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,Low,Closed,Reporter 10,Assignee 10,2025-07-22,2025-07-28 00:00:00.000000,6,80.96,Critical,C-Suite Executives,Steps to resolve Missing or Inaccurate Asset Records,2260345.0,KPI,User_98,2025-07-22 01:09:00,file_access,USA,USA,1420,26,30,612.5,21.837211578601497,5156,19.392,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer
ISSUE-0202,KEY-0202,Incomplete Risk Management Framework,1,Risk Management Maturity,Low,In Progress,Reporter 2,Assignee 10,2024-11-07,2025-09-19 22:15:24.985808,316,36.33,Critical,Sales,Steps to resolve Incomplete Risk Management Framework,1462547.5,KPI,User_77,2024-11-07 08:10:00,file_access,UK,UK,1411,26,33,5670.0,31.765322633788557,3794,10.665999999999999,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer
ISSUE-0203,KEY-0203,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,Critical,In Progress,Reporter 8,Assignee 18,2025-06-25,2025-09-19 22:15:24.985808,86,102.5,Critical,C-Suite Executives,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,537434.0,KPI,User_13,2025-06-25 15:53:00,data_modification,JP,JP,1260,26,17,6029.0,71.59098646939866,7691,26.200000000000003,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer
ISSUE-0204,KEY-0204,Insufficient Access Control Measures,1,Control Effectiveness,Critical,In Progress,Reporter 10,Assignee 5,2023-02-20,2025-09-19 22:15:24.985808,942,39.78,Critical,Legal,Steps to resolve Insufficient Access Control Measures,2856704.0,KPI,User_17,2023-02-20 00:23:00,data_modification,EU,EU,1084,28,13,3038.0,61.19313940745425,4721,13.505999999999998,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer
ISSUE-0205,KEY-0205,Successful Phishing Attempt Targeting Executives,1,Phishing Attack,Medium,Open,Reporter 6,Assignee 3,2024-06-12,2025-09-19 22:15:24.985808,464,65.62,Critical,C-Suite Executives,Steps to resolve Successful Phishing Attempt Targeting Executives,449420.0,KRI,User_75,2024-06-12 12:52:00,file_access,FR,FR,976,26,6,587.5,67.68567687413278,6103,17.574000000000005,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer
ISSUE-0206,KEY-0206,Incomplete Risk Management Framework,1,Risk Management Maturity,Critical,Open,Reporter 3,Assignee 6,2024-09-10,2025-09-19 22:15:24.985808,374,43.63,Critical,HR,Steps to resolve Incomplete Risk Management Framework,773840.0,KPI,User_35,2024-09-10 23:11:00,file_access,JP,JP,900,26,13,1631.0,40.70963535179457,6796,14.276,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer
ISSUE-0207,KEY-0207,Sensitive Data Leak via Misconfigured Cloud Storage,1,Data Leak,Low,In Progress,Reporter 4,Assignee 18,2023-09-02,2025-09-19 22:15:24.985808,748,81.03,Critical,C-Suite Executives,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,860177.5,KRI,User_99,2023-09-02 07:09:00,data_modification,DE,DE,900,26,9,1527.5,56.02659397086656,7028,19.756,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer
ISSUE-0208,KEY-0208,Outdated Operating System Components,1,System Vulnerability,Critical,Open,Reporter 10,Assignee 14,2025-06-30,2025-09-19 22:15:24.985808,81,26.87,Critical,IT,Steps to resolve Outdated Operating System Components,2244998.0,KPI,User_75,2025-06-30 09:23:00,file_access,AU,USA,994,26,10,854.0,26.515644321933497,4566,10.774,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer
ISSUE-0209,KEY-0209,Delayed Patching of Known Vulnerabilities,1,Vulnerability Remediation,High,Closed,Reporter 1,Assignee 1,2024-10-25,2024-11-02 00:00:00.000000,8,89.36,Critical,HR,Steps to resolve Delayed Patching of Known Vulnerabilities,1913180.0,KPI,User_58,2024-10-25 07:33:00,file_access,IN,IN,900,26,17,1235.0,22.138892098162753,7465,22.922,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer
ISSUE-0210,KEY-0210,Increased Exposure due to Insufficient Data Encryption,1,Risk Exposure,Medium,In Progress,Reporter 1,Assignee 14,2024-02-17,2025-09-19 22:15:24.985808,580,85.59,Critical,Finance,Steps to resolve Increased Exposure due to Insufficient Data Encryption,1890057.5,KRI,User_98,2024-02-17 14:12:00,login,USA,USA,1544,26,12,1105.0,58.35500722269371,6736,21.418000000000003,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer
ISSUE-0211,KEY-0211,Inconsistent Review of Security Policies,1,Management Oversight,Critical,Closed,Reporter 9,Assignee 17,2024-09-22,2024-09-23 00:00:00.000000,1,47.27,Critical,Sales,Steps to resolve Inconsistent Review of Security Policies,2627003.0,KPI,User_87,2024-09-22 01:58:00,file_access,JP,JP,1583,26,3,4226.0,78.91944668621284,3534,14.404,Critical,Immediate System-wide Shutdown & Investigation | Limit Data Transfer
