Issue Name,CPU Usage %,Defense Action,Threat Level,Issue Key,Threat Score,Remediation Steps,Issue Volume,Risk Level,Status,Session Duration in Second,Impact Score,Date Resolved,Memory Usage MB,Assignees,Data Transfer MB,User ID,Timestamps,Issue Response Time Days,KPI/KRI,Issue ID,Category,IP Location,Reporters,Num Files Accessed,Department Affected,Is Anomaly,Cost,Severity,User Location,Date Reported,Login Attempts,Activity Type
Ineffective Access Controls in High-Sensitivity Areas,61.81328635503161,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0801,7.85,Steps to resolve Ineffective Access Controls in High-Sensitivity Areas,1,Critical,Closed,1701,10,2025-02-07 21:43:00.000000,25861.683470926175,Assignee 6,648.0009712104518,User_47,2024-12-18 08:11:00,52,KPI,ISSUE-0801,Control Effectiveness,IN,Reporter 2,70,HR,1,153204.27264975346,Critical,FR,2024-12-17 21:43:00,46.04658482189855,data_modification
Delayed Patching of Critical Vulnerabilities,86.52157826378419,Log Activity for Reference | Limit Data Transfer,Medium,KEY-0802,6.0,Steps to resolve Delayed Patching of Critical Vulnerabilities,1,Critical,Open,1507,10,2026-02-08 22:27:57.042371,25199.621353499337,Assignee 19,596.1779253809465,User_19,2024-12-27 13:29:00,91,KPI,ISSUE-0802,Vulnerability Remediation,AU,Reporter 5,117,C-Suite Executives,1,38426.420522281485,Low,FR,2024-12-26 16:59:00,60.37715326906985,file_access
Sudden Increase in Unfiltered Traffic,65.98964037568675,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0803,7.85,Steps to resolve Sudden Increase in Unfiltered Traffic,1,Critical,Open,2099,10,2026-01-11 22:27:57.042371,33785.39422776515,Assignee 11,1079.9027406483087,User_33,2023-09-06 19:36:00,435,KPI,ISSUE-0803,Network Security,EU,Reporter 6,138,Legal,1,77710.17228293717,Critical,UK,2023-09-06 00:51:00,65.0125566342403,data_modification
High Frequency of Policy Violations,36.57097067706069,Log Activity for Reference | Limit Data Transfer,Medium,KEY-0804,5.55,Steps to resolve High Frequency of Policy Violations,1,Critical,Open,409,10,2026-04-25 22:27:57.042371,9437.841014353302,Assignee 2,111.71094044408417,User_44,2025-04-25 23:50:00,81,KPI,ISSUE-0804,Management Oversight,EU,Reporter 7,69,HR,1,39122.72532060421,Low,IN,2025-04-25 15:48:00,51.68171288987691,data_modification
Newly Discovered Vulnerabilities in Core Systems,67.5204784016759,Restrict User Activity & Monitor Logs | Lock Account & Alert,High,KEY-0805,7.25,Steps to resolve Newly Discovered Vulnerabilities in Core Systems,1,Critical,Resolved,2227,10,2025-07-29 08:25:00.000000,29848.32534147934,Assignee 15,69.90865706810455,User_65,2025-02-08 14:16:00,171,KPI,ISSUE-0805,System Vulnerability,IN,Reporter 8,100,C-Suite Executives,1,77974.818082303,High,UK,2025-02-08 08:25:00,85.0000449229756,file_access
Potential Non-Compliance Detected in Sensitive Data Handling,57.54997714553586,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0806,7.2,Steps to resolve Potential Non-Compliance Detected in Sensitive Data Handling,1,Critical,In Progress,2002,10,2025-12-04 22:27:57.042371,27691.786759168597,Assignee 14,3054.5761716324105,User_7,2023-11-03 22:07:00,110,KRI,ISSUE-0806,Legal Compliance,EU,Reporter 8,65,C-Suite Executives,1,73433.51126182552,High,FR,2023-11-03 17:16:00,40.08780556400711,data_modification
Multiple Unauthorized Access Attempts Detected,56.53527054130975,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,High,KEY-0807,7.5,Steps to resolve Multiple Unauthorized Access Attempts Detected,1,Critical,Resolved,1561,10,2025-06-16 02:04:00.000000,23571.22947165157,Assignee 18,6.728122241978276,User_3,2024-08-25 01:21:00,296,KPI,ISSUE-0807,Access Control,CN,Reporter 3,40,External Contractors,1,104214.3671153988,Critical,IN,2024-08-24 02:04:00,56.53470000325153,login
Critical Issues Not Detected in Last Penetration Test,63.16741162210569,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0808,7.35,Steps to resolve Critical Issues Not Detected in Last Penetration Test,1,Critical,Open,1918,10,2026-01-30 22:27:57.042371,27391.375353297684,Assignee 10,7573.419250318846,User_80,2023-12-22 23:53:00,64,KPI,ISSUE-0808,Penetration Testing Effectiveness,Unknown,Reporter 7,164,Sales,1,96131.5193262374,High,FR,2023-12-22 03:13:00,81.87393341092246,data_modification
Weak Access Controls on Critical Cloud Resources,77.14802129943422,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0809,7.35,Steps to resolve Weak Access Controls on Critical Cloud Resources,1,Critical,Closed,471,10,2025-02-01 23:41:00.000000,12523.282046087192,Assignee 15,326.0384190505194,User_74,2025-01-09 14:37:00,24,KRI,ISSUE-0809,Cloud Security Posture,IN,Reporter 8,130,HR,1,91904.73170986216,High,USA,2025-01-08 23:41:00,62.27414369369783,file_access
Unanticipated Increase in Risk Exposure,100.0,Restrict User Activity & Monitor Logs | Lock Account & Alert | Limit Data Transfer,High,KEY-0810,7.5,Steps to resolve Unanticipated Increase in Risk Exposure,1,Critical,In Progress,9013,10,2026-01-11 22:27:57.042371,99091.86786622636,Assignee 6,842.6764742678081,User_66,2025-01-19 14:48:00,145,KRI,ISSUE-0810,Risk Exposure,JP,Reporter 7,171,Legal,1,39755.16199977982,High,CANADA,2025-01-19 03:46:00,58.484454483435364,file_access
Unusual Data Transfer Volumes Detected,100.0,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0811,8.0,Steps to resolve Unusual Data Transfer Volumes Detected,1,Critical,In Progress,4493,10,2026-05-04 22:27:57.042371,51062.776414844324,Assignee 1,28364.49791478518,User_87,2025-01-08 18:48:00,166,KRI,ISSUE-0811,Data Breach,IN,Reporter 5,150,Sales,1,439631.6928698927,Critical,CANADA,2025-01-08 03:51:00,64.49872821611206,data_modification
Spike in Unauthorized Access Attempts,88.22510892810527,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0812,8.0,Steps to resolve Spike in Unauthorized Access Attempts,1,Critical,Resolved,4637,10,2024-05-02 06:12:00.000000,53244.343047726514,Assignee 1,1306.7292746498456,User_86,2024-02-05 00:09:00,88,KRI,ISSUE-0812,Unauthorized Access,AU,Reporter 1,168,Sales,1,383760.1288076936,Critical,EU,2024-02-04 06:12:00,97.11062837507478,data_modification
Weak Access Controls on Critical Cloud Resources,100.0,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0813,8.0,Steps to resolve Weak Access Controls on Critical Cloud Resources,1,Critical,Open,8223,10,2026-02-09 22:27:57.042371,90108.56667133613,Assignee 8,466.982502496797,User_67,2023-12-24 23:03:00,101,KRI,ISSUE-0813,Cloud Security Posture,CN,Reporter 3,81,Legal,1,74376.96850626034,Critical,JP,2023-12-24 09:46:00,26.445305829027376,file_access
Unanticipated Increase in Risk Exposure,56.60045792703868,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert | Limit Data Transfer,High,KEY-0814,7.7,Steps to resolve Unanticipated Increase in Risk Exposure,1,Critical,In Progress,5802,10,2025-12-09 22:27:57.042371,64867.69986307745,Assignee 13,320.1789942748623,User_43,2024-03-20 03:50:00,268,KRI,ISSUE-0814,Risk Exposure,IN,Reporter 4,155,HR,1,148667.10536774734,Critical,CN,2024-03-19 05:45:00,66.63933391471,file_access
Newly Discovered Vulnerabilities in Core Systems,74.7421276082125,Routine Monitoring | Limit Data Transfer,Medium,KEY-0815,6.6,Steps to resolve Newly Discovered Vulnerabilities in Core Systems,1,Critical,Open,1593,10,2026-02-08 22:27:57.042371,21386.554205764594,Assignee 12,251.89080552295576,User_84,2023-06-24 12:55:00,189,KPI,ISSUE-0815,System Vulnerability,DE,Reporter 3,33,External Contractors,1,42463.21499313894,Medium,USA,2023-06-24 01:52:00,63.75647283683062,login
Newly Discovered Vulnerabilities in Core Systems,72.63193460209824,Routine Monitoring | Limit Data Transfer,Medium,KEY-0816,6.6,Steps to resolve Newly Discovered Vulnerabilities in Core Systems,1,Critical,Closed,1702,10,2024-04-16 20:41:00.000000,22718.959770807247,Assignee 6,287.45740305774046,User_81,2024-01-11 05:29:00,97,KPI,ISSUE-0816,System Vulnerability,USA,Reporter 4,110,Legal,1,29715.78154615855,Medium,UK,2024-01-10 20:41:00,38.95447734766001,file_access
