Issue ID,Issue Key,Issue Name,Issue Volume,Category,Severity,Status,Reporters,Assignees,Date Reported,Date Resolved,Issue Response Time Days,Impact Score,Risk Level,Department Affected,Remediation Steps,Cost,KPI/KRI,User ID,Timestamps,Activity Type,User Location,IP Location,Session Duration in Second,Num Files Accessed,Login Attempts,Data Transfer MB,Threat Score,Threat Level,Defense Action
ISSUE-0001,KEY-0001,Access by Unauthorized Personnel Detected,1,Unauthorized Access,Critical,Open,Reporter 3,Assignee 3,2023-06-17,2024-11-20 10:01:53.785164,522,8.96,High,Sales,Steps to resolve Access by Unauthorized Personnel Detected,1466354.0,KRI,User_57,2023-06-17 11:16:00,file_access,DE,DE,900,28,21,6425.0,7.8919999999999995,High,Lock Account & Alert
ISSUE-0002,KEY-0002,Unauthorized Access Leading to Data Exposure,1,Data Breach,Low,Closed,Reporter 3,Assignee 10,2024-10-23,2024-11-02 00:00:00.000000,10,24.48,Critical,Finance,Steps to resolve Unauthorized Access Leading to Data Exposure,2329875.0,KRI,User_91,2024-10-23 10:06:00,data_modification,FR,FR,1808,26,15,852.5,8.996,High,Lock Account & Alert
ISSUE-0003,KEY-0003,Delayed Patching of Known Vulnerabilities,1,Vulnerability Remediation,High,Closed,Reporter 10,Assignee 10,2024-07-01,2024-07-06 00:00:00.000000,5,98.85,Critical,Legal,Steps to resolve Delayed Patching of Known Vulnerabilities,2077556.0,KPI,User_26,2024-07-01 23:11:00,file_access,IN,IN,1224,26,6,1970.0,25.47,Critical,Immediate Response
ISSUE-0004,KEY-0004,Weak Cloud Storage Access Controls,1,Cloud Security Posture,High,Closed,Reporter 8,Assignee 2,2023-05-26,2023-06-03 00:00:00.000000,8,87.91,Critical,Operations,Steps to resolve Weak Cloud Storage Access Controls,1267583.0,KRI,User_34,2023-05-26 10:20:00,login,UK,UK,2919,26,21,3515.0,23.482,Critical,Immediate Response
ISSUE-0005,KEY-0005,Increased Exposure due to Insufficient Data Encryption,1,Risk Exposure,Low,Resolved,Reporter 7,Assignee 7,2024-02-21,2024-02-24 00:00:00.000000,3,29.95,Critical,Sales,Steps to resolve Increased Exposure due to Insufficient Data Encryption,1472712.5,KRI,User_52,2024-02-21 10:18:00,data_modification,USA,USA,900,26,9,3632.5,9.69,Critical,Immediate Response
ISSUE-0006,KEY-0006,Sensitive Data Leak via Misconfigured Cloud Storage,1,Data Leak,High,Open,Reporter 4,Assignee 14,2023-10-05,2024-11-20 10:01:53.785164,412,101.57,Critical,Finance,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,768158.0,KRI,User_76,2023-10-05 10:26:00,data_modification,AU,DE,900,26,10,4031.0,26.214,Critical,Immediate Response
ISSUE-0007,KEY-0007,Inconsistent Review of Security Policies,1,Management Oversight,Critical,In Progress,Reporter 4,Assignee 13,2023-06-25,2024-11-20 10:01:53.785164,514,44.21,Critical,Legal,Steps to resolve Inconsistent Review of Security Policies,1167161.0,KPI,User_11,2023-06-25 23:24:00,login,IN,IN,900,26,17,4280.0,15.342,Critical,Immediate Response
ISSUE-0008,KEY-0008,Insufficient Coverage in Annual Risk Assessment,1,Risk Assessment Coverage,High,Closed,Reporter 3,Assignee 17,2023-09-26,2023-10-06 00:00:00.000000,10,29.93,Critical,Operations,Steps to resolve Insufficient Coverage in Annual Risk Assessment,483839.0,KPI,User_8,2023-09-26 04:18:00,login,AU,USA,1073,26,24,3050.0,11.886000000000001,Critical,Immediate Response
ISSUE-0009,KEY-0009,Outdated Operating System Components,1,System Vulnerability,High,Closed,Reporter 7,Assignee 15,2024-05-12,2024-05-14 00:00:00.000000,2,65.09,Critical,HR,Steps to resolve Outdated Operating System Components,1569542.0,KPI,User_40,2024-05-12 09:42:00,file_access,EU,EU,988,26,6,3482.0,18.518,Critical,Immediate Response
ISSUE-0010,KEY-0010,Delayed Patching of Known Vulnerabilities,1,Vulnerability Remediation,Medium,Closed,Reporter 4,Assignee 13,2023-09-28,2023-10-07 00:00:00.000000,9,35.6,Critical,HR,Steps to resolve Delayed Patching of Known Vulnerabilities,2150745.0,KPI,User_95,2023-09-28 22:31:00,data_modification,DE,USA,2357,26,9,3137.5,12.120000000000001,Critical,Immediate Response
ISSUE-0011,KEY-0011,Detected Malware Infiltration in Internal Systems,1,Malware,Low,Resolved,Reporter 10,Assignee 17,2023-01-14,2023-01-19 00:00:00.000000,5,97.45,Critical,Legal,Steps to resolve Detected Malware Infiltration in Internal Systems,2350705.0,KRI,User_56,2023-01-14 22:15:00,data_modification,CANADA,CANADA,900,26,9,1195.0,23.390000000000004,Critical,Immediate Response
ISSUE-0012,KEY-0012,Sensitive Data Leak via Misconfigured Cloud Storage,1,Data Leak,Medium,Closed,Reporter 6,Assignee 16,2023-01-03,2023-01-10 00:00:00.000000,7,16.22,Critical,HR,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,2403490.0,KRI,User_76,2023-01-03 20:59:00,file_access,CN,CN,900,27,12,1992.5,8.044,High,Lock Account & Alert
ISSUE-0013,KEY-0013,Weak Authentication Protocols,1,Access Control,Critical,Open,Reporter 4,Assignee 10,2023-11-10,2024-11-20 10:01:53.785164,376,63.51,Critical,Operations,Steps to resolve Weak Authentication Protocols,1006229.0,KPI,User_13,2023-11-10 00:11:00,login,AU,CN,900,26,6,11159.0,19.201999999999998,Critical,Immediate Response
ISSUE-0014,KEY-0014,Detected Malware Infiltration in Internal Systems,1,Malware,Low,Open,Reporter 9,Assignee 12,2024-06-21,2024-11-20 10:01:53.785164,152,63.14,Critical,IT,Steps to resolve Detected Malware Infiltration in Internal Systems,150742.5,KRI,User_16,2024-06-21 10:07:00,data_modification,AU,AU,900,26,15,1082.5,16.728,Critical,Immediate Response
ISSUE-0015,KEY-0015,Inconsistent Review of Security Policies,1,Management Oversight,Medium,Closed,Reporter 2,Assignee 5,2023-11-08,2023-11-12 00:00:00.000000,4,61.85,Critical,IT,Steps to resolve Inconsistent Review of Security Policies,212702.5,KPI,User_27,2023-11-08 23:38:00,file_access,JP,JP,900,26,12,892.5,17.17,Critical,Immediate Response
ISSUE-0016,KEY-0016,Detected Malware Infiltration in Internal Systems,1,Malware,High,Closed,Reporter 9,Assignee 7,2024-08-19,2024-08-25 00:00:00.000000,6,70.87,Critical,Operations,Steps to resolve Detected Malware Infiltration in Internal Systems,1939325.0,KRI,User_62,2024-08-19 05:38:00,login,AU,AU,2752,26,21,4790.0,19.874000000000002,Critical,Immediate Response
ISSUE-0017,KEY-0017,Access by Unauthorized Personnel Detected,1,Unauthorized Access,Medium,Closed,Reporter 4,Assignee 9,2024-01-11,2024-01-15 00:00:00.000000,4,61.75,Critical,IT,Steps to resolve Access by Unauthorized Personnel Detected,1370375.0,KRI,User_5,2024-01-11 22:20:00,login,IN,IN,900,30,6,4042.5,17.150000000000002,Critical,Immediate Response
ISSUE-0018,KEY-0018,High-Volume Distributed Denial-of-Service Attack,1,DDOS,Medium,Closed,Reporter 10,Assignee 2,2024-02-27,2024-03-05 00:00:00.000000,7,22.46,Critical,HR,Steps to resolve High-Volume Distributed Denial-of-Service Attack,1534732.5,KRI,User_94,2024-02-27 04:41:00,login,FR,FR,1405,33,9,1115.0,9.292,Critical,Immediate Response
ISSUE-0019,KEY-0019,Successful Phishing Attempt Targeting Executives,1,Phishing Attack,Low,Closed,Reporter 4,Assignee 7,2023-10-31,2023-11-07 00:00:00.000000,7,36.04,Critical,Operations,Steps to resolve Successful Phishing Attempt Targeting Executives,1796945.0,KRI,User_25,2023-10-31 02:31:00,data_modification,Unknown,Unknown,900,30,9,1650.0,11.108,Critical,Immediate Response
ISSUE-0020,KEY-0020,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,High,Resolved,Reporter 3,Assignee 14,2023-08-31,2023-09-07 00:00:00.000000,7,86.36,Critical,HR,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,451733.0,KPI,User_72,2023-08-31 05:54:00,file_access,IN,IN,900,26,28,1115.0,22.972,Critical,Immediate Response
ISSUE-0021,KEY-0021,Outdated Operating System Components,1,System Vulnerability,Critical,Resolved,Reporter 6,Assignee 2,2024-07-30,2024-08-03 00:00:00.000000,4,20.89,Critical,HR,Steps to resolve Outdated Operating System Components,659174.0,KPI,User_96,2024-07-30 13:22:00,file_access,IN,IN,1365,31,13,7304.0,10.478000000000002,Critical,Immediate Response
ISSUE-0022,KEY-0022,Unauthorized Access Leading to Data Exposure,1,Data Breach,Medium,Resolved,Reporter 2,Assignee 5,2023-09-05,2023-09-08 00:00:00.000000,3,43.0,Critical,Sales,Steps to resolve Unauthorized Access Leading to Data Exposure,327445.0,KRI,User_67,2023-09-05 14:53:00,data_modification,UK,UK,2106,26,21,1640.0,13.2,Critical,Immediate Response
ISSUE-0023,KEY-0023,Unauthorized Access Leading to Data Exposure,1,Data Breach,Medium,Open,Reporter 9,Assignee 8,2023-12-02,2024-11-20 10:01:53.785164,354,31.18,Critical,Operations,Steps to resolve Unauthorized Access Leading to Data Exposure,1244480.0,KRI,User_83,2023-12-02 09:23:00,data_modification,CANADA,CANADA,1527,26,21,2800.0,11.236,Critical,Immediate Response
