Issue ID,Issue Key,Issue Name,Issue Volume,Category,Severity,Status,Reporters,Assignees,Date Reported,Date Resolved,Issue Response Time Days,Impact Score,Risk Level,Department Affected,Remediation Steps,Cost,KPI/KRI,User ID,Timestamps,Activity Type,User Location,IP Location,Session Duration in Second,Num Files Accessed,Login Attempts,Data Transfer MB,CPU Usage %,Memory Usage MB,Threat Score,Threat Level,Defense Action
ISSUE-0001,KEY-0001,Unauthorized Access Leading to Data Exposure,1,Data Breach,Low,Closed,Reporter 7,Assignee 16,2023-12-07,2023-12-11 00:00:00.000000,4,31.66,Critical,Operations,Steps to resolve Unauthorized Access Leading to Data Exposure,542937.5,KRI,User_87,2023-12-07 03:22:00,file_access,JP,JP,1002,26,6,3420.0,34.41755616503208,7717,9.682,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer
ISSUE-0002,KEY-0002,Increased Exposure due to Insufficient Data Encryption,1,Risk Exposure,Low,In Progress,Reporter 1,Assignee 4,2023-05-05,2025-09-19 22:15:24.985808,868,53.82,Critical,External Contractors,Steps to resolve Increased Exposure due to Insufficient Data Encryption,1861365.0,KRI,User_93,2023-05-05 02:23:00,file_access,AU,AU,1649,26,9,2825.0,38.368115010160196,7828,14.314,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer
ISSUE-0003,KEY-0003,Non-Compliance with Data Protection Regulations,1,Legal Compliance,Medium,Closed,Reporter 3,Assignee 6,2024-05-03,2024-05-08 00:00:00.000000,5,72.73,Critical,Finance,Steps to resolve Non-Compliance with Data Protection Regulations,494675.0,KRI,User_26,2024-05-03 14:06:00,data_modification,AU,AU,2190,26,6,1022.5,21.42935412312785,4263,18.496,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer
ISSUE-0004,KEY-0004,Insufficient Coverage in Annual Risk Assessment,1,Risk Assessment Coverage,Low,Resolved,Reporter 3,Assignee 17,2025-06-22,2025-06-26 00:00:00.000000,4,60.01,Critical,Operations,Steps to resolve Insufficient Coverage in Annual Risk Assessment,1867942.5,KPI,User_66,2025-06-22 12:10:00,file_access,USA,USA,907,36,18,2692.5,33.89629815710752,6366,15.352,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer
ISSUE-0005,KEY-0005,Inconsistent Review of Security Policies,1,Management Oversight,High,In Progress,Reporter 7,Assignee 13,2024-03-28,2025-09-19 22:15:24.985808,540,71.01,Critical,C-Suite Executives,Steps to resolve Inconsistent Review of Security Policies,353102.0,KPI,User_63,2024-03-28 09:15:00,login,DE,DE,900,42,3,3122.0,53.059948385607484,5927,18.902,Critical,Escalate to Security Operations Center (SOC) & Block User | Limit Data Transfer
ISSUE-0006,KEY-0006,Access by Unauthorized Personnel Detected,1,Unauthorized Access,Low,Closed,Reporter 6,Assignee 10,2024-10-23,2024-10-29 00:00:00.000000,6,29.11,Critical,Legal,Steps to resolve Access by Unauthorized Personnel Detected,1136765.0,KRI,User_44,2024-10-23 17:38:00,login,Unknown,Unknown,958,33,12,2652.5,73.61831989369153,6883,9.322,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer
ISSUE-0007,KEY-0007,Access by Unauthorized Personnel Detected,1,Unauthorized Access,High,In Progress,Reporter 1,Assignee 7,2023-05-30,2025-09-19 22:15:24.985808,843,56.15,Critical,Finance,Steps to resolve Access by Unauthorized Personnel Detected,2170745.0,KRI,User_48,2023-05-30 04:05:00,data_modification,JP,EU,1973,26,13,1376.0,42.95343190133633,3419,16.13,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer
ISSUE-0008,KEY-0008,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,High,Open,Reporter 5,Assignee 6,2025-08-17,2025-09-19 22:15:24.985808,33,90.56,Critical,External Contractors,Steps to resolve Missing or Inaccurate Asset Records,326012.0,KPI,User_33,2025-08-17 21:31:00,data_modification,UK,UK,900,26,10,1898.0,47.729192141001924,5532,23.012,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer
ISSUE-0009,KEY-0009,Successful Phishing Attempt Targeting Executives,1,Phishing Attack,Critical,In Progress,Reporter 9,Assignee 14,2023-10-16,2025-09-19 22:15:24.985808,704,62.69,Critical,Finance,Steps to resolve Successful Phishing Attempt Targeting Executives,2122814.0,KRI,User_46,2023-10-16 21:28:00,file_access,DE,DE,1892,26,21,10790.0,65.34269519112338,7531,18.238000000000003,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer
ISSUE-0010,KEY-0010,Successful Phishing Attempt Targeting Executives,1,Phishing Attack,Critical,Open,Reporter 1,Assignee 20,2023-07-02,2025-09-19 22:15:24.985808,810,72.44,Critical,Legal,Steps to resolve Successful Phishing Attempt Targeting Executives,1255844.0,KRI,User_56,2023-07-02 22:28:00,login,CN,CN,900,26,10,4928.0,42.005268974309246,7248,20.038,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer
ISSUE-0011,KEY-0011,Insufficient Access Control Measures,1,Control Effectiveness,Critical,Open,Reporter 7,Assignee 16,2023-05-03,2025-09-19 22:15:24.985808,870,41.04,Critical,Sales,Steps to resolve Insufficient Access Control Measures,1931150.0,KPI,User_25,2023-05-03 00:05:00,data_modification,Unknown,Unknown,900,26,6,1136.0,63.93398674028982,5046,13.758,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer
