Issue ID,Issue Key,Issue Name,Category,Status,Reporters,Assignees,Date Reported,Date Resolved,Issue Age Days,Impact Score,Risk Level,Department Affected,Remediation Steps,Cost,KPI/KRI,User ID,Timestamps,Activity Type,User Location,IP Location,Severity,Num Files Accessed,Login Attempts,Session Duration in Second,Data Transfer MB
ISSUE-0000,KEY-0000,Ineffective Access Controls in High-Sensitivity Areas,Control Effectiveness,In Progress,Reporter 5,Assignee 14,2024-02-17,2024-11-07 19:53:43.863851,264,204.43,Critical,HR,Steps to resolve Ineffective Access Controls in High-Sensitivity Areas,2947040.0,KPI,User_35,2024-02-17 08:06:00,file_access,['JP'],IN,High,28,10,900,971.0
ISSUE-0001,KEY-0001,High-Volume Distributed Denial-of-Service Attack from Multiple Sources,DDOS,Open,Reporter 8,Assignee 19,2024-03-26,2024-11-07 19:53:43.863851,226,75.51,Critical,Legal,Steps to resolve High-Volume Distributed Denial-of-Service Attack from Multiple Sources,2711464.0,KRI,User_29,2024-03-26 17:49:00,login,['USA'],AU,Low,26,15,1306,1077.5
ISSUE-0002,KEY-0002,Supplier Network Breach Exposure,Procurement Security,In Progress,Reporter 4,Assignee 2,2024-04-08,2024-11-07 19:53:43.863851,213,59.87,Critical,HR,Steps to resolve Supplier Network Breach Exposure,2576740.0,KPI,User_22,2024-04-08 10:33:00,file_access,['CANADA'],UK,Low,26,15,900,837.5
ISSUE-0003,KEY-0003,Potential Non-Compliance Detected in Sensitive Data Handling,Legal Compliance,Resolved,Reporter 4,Assignee 2,2023-01-19,2023-01-26 00:00:00.000000,7,178.38,Critical,Sales,Steps to resolve Potential Non-Compliance Detected in Sensitive Data Handling,2667370.0,KRI,User_52,2023-01-19 23:03:00,file_access,['FR'],['FR'],Low,26,3,959,675.0
ISSUE-0004,KEY-0004,Ineffective Access Controls in High-Sensitivity Areas,Control Effectiveness,Resolved,Reporter 6,Assignee 6,2024-05-04,2024-05-08 00:00:00.000000,4,8.81,High,Finance,Steps to resolve Ineffective Access Controls in High-Sensitivity Areas,1215442.0,KPI,User_68,2024-05-04 05:18:00,data_modification,['CN'],DE,Low,26,27,900,2635.0
ISSUE-0005,KEY-0005,Malware Detected in Core System Components,Malware,In Progress,Reporter 4,Assignee 11,2024-04-09,2024-11-07 19:53:43.863851,212,43.98,Critical,IT,Steps to resolve Malware Detected in Core System Components,3815740.0,KRI,User_27,2024-04-09 22:30:00,login,['CANADA'],['CANADA'],Medium,26,15,900,1132.5
ISSUE-0006,KEY-0006,Significant Number of Untracked Devices,Asset Inventory Accuracy,In Progress,Reporter 9,Assignee 7,2023-06-04,2024-11-07 19:53:43.863851,522,37.71,Critical,IT,Steps to resolve Significant Number of Untracked Devices,4628665.0,KPI,User_66,2023-06-04 22:22:00,login,['IN'],USA,Critical,26,13,900,3737.0
ISSUE-0007,KEY-0007,Unanticipated Increase in Risk Exposure,Risk Exposure,In Progress,Reporter 2,Assignee 7,2023-08-02,2024-11-07 19:53:43.863851,463,157.18,Critical,Finance,Steps to resolve Unanticipated Increase in Risk Exposure,2285956.0,KRI,User_58,2023-08-02 07:15:00,data_modification,['FR'],FR,High,26,6,900,3596.0
ISSUE-0008,KEY-0008,Ineffective Access Controls in High-Sensitivity Areas,Control Effectiveness,Open,Reporter 1,Assignee 12,2023-08-24,2024-11-07 19:53:43.863851,441,61.12,Critical,Sales,Steps to resolve Ineffective Access Controls in High-Sensitivity Areas,3694230.0,KPI,User_80,2023-08-24 13:02:00,login,['AU'],CANADA,High,26,6,1418,1574.0
ISSUE-0009,KEY-0009,Weak Access Controls on Critical Cloud Resources,Cloud Security Posture,Closed,Reporter 10,Assignee 18,2023-10-05,2023-10-11 00:00:00.000000,6,12.46,Critical,Sales,Steps to resolve Weak Access Controls on Critical Cloud Resources,3134985.0,KRI,User_86,2023-10-05 13:10:00,file_access,['IN'],CANADA,High,26,13,1497,4910.0
ISSUE-0010,KEY-0010,Unassessed High-Risk Areas,Risk Assessment Coverage,In Progress,Reporter 4,Assignee 15,2024-02-21,2024-11-07 19:53:43.863851,260,132.83,Critical,IT,Steps to resolve Unassessed High-Risk Areas,3490065.0,KPI,User_19,2024-02-21 06:05:00,login,['Unknown'],UK,Medium,26,15,900,5165.0
ISSUE-0011,KEY-0011,Malware Detected in Core System Components,Malware,Open,Reporter 7,Assignee 4,2023-10-12,2024-11-07 19:53:43.863851,392,116.9,Critical,HR,Steps to resolve Malware Detected in Core System Components,2579560.0,KRI,User_88,2023-10-12 09:25:00,data_modification,['AU'],['AU'],Critical,28,10,900,4088.0
ISSUE-0012,KEY-0012,Newly Discovered Vulnerabilities in Core Systems,System Vulnerability,Open,Reporter 9,Assignee 15,2023-10-01,2024-11-07 19:53:43.863851,403,143.75,Critical,Sales,Steps to resolve Newly Discovered Vulnerabilities in Core Systems,4232140.0,KPI,User_24,2023-10-01 09:26:00,file_access,['JP'],['JP'],Critical,26,24,1313,2261.0
ISSUE-0013,KEY-0013,Sudden Increase in Unfiltered Traffic,Network Security,Open,Reporter 7,Assignee 7,2023-09-09,2024-11-07 19:53:43.863851,425,112.28,Critical,HR,Steps to resolve Sudden Increase in Unfiltered Traffic,4340380.0,KPI,User_56,2023-09-09 22:37:00,data_modification,['Unknown'],FR,Critical,26,10,2069,4901.0
ISSUE-0014,KEY-0014,Newly Discovered Vulnerabilities in Core Systems,System Vulnerability,In Progress,Reporter 8,Assignee 13,2023-06-27,2024-11-07 19:53:43.863851,499,97.67,Critical,IT,Steps to resolve Newly Discovered Vulnerabilities in Core Systems,728300.0,KPI,User_15,2023-06-27 21:40:00,login,['Unknown'],Unknown,Low,26,6,900,1287.5
ISSUE-0015,KEY-0015,Sudden Increase in Unfiltered Traffic,Network Security,Closed,Reporter 5,Assignee 2,2023-05-08,2023-05-10 00:00:00.000000,2,0.0,Low,HR,Steps to resolve Sudden Increase in Unfiltered Traffic,315900.0,KPI,User_97,2023-05-08 19:48:00,file_access,['IN'],Unknown,Low,30,12,900,1395.0
ISSUE-0016,KEY-0016,Lack of Updated Risk Management Procedures,Risk Management Maturity,In Progress,Reporter 10,Assignee 7,2023-02-08,2024-11-07 19:53:43.863851,638,143.79,Critical,Operations,Steps to resolve Lack of Updated Risk Management Procedures,1593840.0,KPI,User_98,2023-02-08 23:28:00,file_access,['CN'],UK,Low,26,6,1370,5190.0
ISSUE-0017,KEY-0017,Supplier Network Breach Exposure,Procurement Security,In Progress,Reporter 6,Assignee 15,2023-11-25,2024-11-07 19:53:43.863851,348,62.16,Critical,IT,Steps to resolve Supplier Network Breach Exposure,1007115.0,KPI,User_23,2023-11-25 07:29:00,login,['JP'],FR,Critical,28,17,916,7016.0
ISSUE-0018,KEY-0018,Unassessed High-Risk Areas,Risk Assessment Coverage,In Progress,Reporter 9,Assignee 7,2023-11-04,2024-11-07 19:53:43.863851,369,50.41,Critical,Sales,Steps to resolve Unassessed High-Risk Areas,1819275.0,KPI,User_21,2023-11-04 20:50:00,data_modification,['EU'],CANADA,Medium,26,12,900,2040.0
ISSUE-0019,KEY-0019,Significant Number of Untracked Devices,Asset Inventory Accuracy,Closed,Reporter 4,Assignee 12,2023-12-23,2023-12-28 00:00:00.000000,5,102.21,Critical,HR,Steps to resolve Significant Number of Untracked Devices,2170580.0,KPI,User_4,2023-12-23 17:15:00,file_access,['JP'],FR,High,26,10,2980,3707.0
ISSUE-0020,KEY-0020,Ineffective Access Controls in High-Sensitivity Areas,Control Effectiveness,Resolved,Reporter 4,Assignee 9,2023-10-25,2023-10-30 00:00:00.000000,5,247.01,Critical,IT,Steps to resolve Ineffective Access Controls in High-Sensitivity Areas,3104640.0,KPI,User_25,2023-10-25 05:40:00,login,['FR'],['FR'],Medium,30,3,1090,1215.0
ISSUE-0021,KEY-0021,Unusual Data Transfer Volumes Detected,Data Breach,Closed,Reporter 10,Assignee 17,2023-03-19,2023-03-24 00:00:00.000000,5,27.0,Critical,Operations,Steps to resolve Unusual Data Transfer Volumes Detected,1800030.0,KRI,User_23,2023-03-19 05:03:00,file_access,['FR'],['FR'],High,26,24,900,9605.0
ISSUE-0022,KEY-0022,Significant Number of Untracked Devices,Asset Inventory Accuracy,Resolved,Reporter 5,Assignee 6,2023-03-12,2023-03-18 00:00:00.000000,6,100.34,Critical,IT,Steps to resolve Significant Number of Untracked Devices,1574566.0,KPI,User_86,2023-03-12 08:49:00,file_access,['DE'],CANADA,Medium,26,9,1534,4075.0
