Issue ID,Issue Key,Issue Name,Issue Volume,Category,Severity,Status,Reporters,Assignees,Date Reported,Date Resolved,Issue Response Time Days,Impact Score,Risk Level,Department Affected,Remediation Steps,Cost,KPI/KRI,User ID,Timestamps,Activity Type,User Location,IP Location,Session Duration in Second,Num Files Accessed,Login Attempts,Data Transfer MB,Threat Score,Threat Level,Defense Action,Color
ISSUE-0001,KEY-0001,Insufficient Access Control Measures,1,Control Effectiveness,Critical,Closed,Reporter 9,Assignee 10,2024-01-04,2024-01-13 00:00:00.000000,9,86.56,Critical,HR,Steps to resolve Insufficient Access Control Measures,486776.0,KPI,User_71,2024-01-04 03:15:00,data_modification,USA,USA,1508,35,6,623.0,23.812,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red
ISSUE-0002,KEY-0002,High-Volume Distributed Denial-of-Service Attack,1,DDOS,High,In Progress,Reporter 2,Assignee 6,2023-01-05,2025-01-29 01:48:48.548031,755,82.2,Critical,IT,Steps to resolve High-Volume Distributed Denial-of-Service Attack,2219276.0,KRI,User_93,2023-01-05 15:43:00,data_modification,IN,IN,905,26,13,782.0,22.34,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0003,KEY-0003,Insufficient Coverage in Annual Risk Assessment,1,Risk Assessment Coverage,Critical,In Progress,Reporter 5,Assignee 16,2024-03-03,2025-01-29 01:48:48.548031,332,60.29,Critical,HR,Steps to resolve Insufficient Coverage in Annual Risk Assessment,2057222.0,KPI,User_73,2024-03-03 09:36:00,login,CANADA,CANADA,900,26,13,3404.0,18.558,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red
ISSUE-0004,KEY-0004,Unresolved Vulnerabilities from Latest Penetration Test,1,Penetration Testing Effectiveness,Critical,In Progress,Reporter 9,Assignee 2,2023-10-21,2025-01-29 01:48:48.548031,466,25.97,Critical,HR,Steps to resolve Unresolved Vulnerabilities from Latest Penetration Test,2414339.0,KPI,User_40,2023-10-21 09:36:00,data_modification,EU,EU,948,26,3,4724.0,11.293999999999999,Critical,Immediate System-wide Shutdown & Investigation | Limit Data Transfer,Dark Red
ISSUE-0005,KEY-0005,Weak Cloud Storage Access Controls,1,Cloud Security Posture,High,Resolved,Reporter 8,Assignee 6,2024-12-07,2024-12-11 00:00:00.000000,4,62.1,Critical,Legal,Steps to resolve Weak Cloud Storage Access Controls,964535.0,KRI,User_25,2024-12-07 09:10:00,data_modification,UK,UK,1643,26,13,5774.0,18.12,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0006,KEY-0006,Access by Unauthorized Personnel Detected,1,Unauthorized Access,Medium,Open,Reporter 9,Assignee 18,2024-04-11,2025-01-29 01:48:48.548031,293,38.71,Critical,C-Suite Executives,Steps to resolve Access by Unauthorized Personnel Detected,663955.0,KRI,User_89,2024-04-11 14:59:00,data_modification,EU,EU,1153,26,21,4785.0,12.742,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red
ISSUE-0007,KEY-0007,Inadequate Firewall Configurations,1,Network Security,High,Closed,Reporter 7,Assignee 20,2023-05-23,2023-05-27 00:00:00.000000,4,36.15,Critical,Finance,Steps to resolve Inadequate Firewall Configurations,2839949.0,KPI,User_26,2023-05-23 10:47:00,file_access,UK,UK,900,26,24,2564.0,12.930000000000001,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0008,KEY-0008,Weak Authentication Protocols,1,Access Control,Low,Open,Reporter 8,Assignee 12,2023-08-25,2025-01-29 01:48:48.548031,523,50.61,Critical,External Contractors,Steps to resolve Weak Authentication Protocols,2079802.5,KPI,User_32,2023-08-25 00:20:00,login,CANADA,CANADA,2519,26,12,560.0,14.222,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange
ISSUE-0009,KEY-0009,Insufficient Access Control Measures,1,Control Effectiveness,Critical,Closed,Reporter 8,Assignee 12,2024-02-02,2024-02-05 00:00:00.000000,3,20.7,Critical,External Contractors,Steps to resolve Insufficient Access Control Measures,1974881.0,KPI,User_81,2024-02-02 13:57:00,login,USA,USA,1759,31,13,8030.0,10.24,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red
ISSUE-0010,KEY-0010,Inadequate Firewall Configurations,1,Network Security,Medium,In Progress,Reporter 8,Assignee 15,2024-04-24,2025-01-29 01:48:48.548031,280,54.18,Critical,Legal,Steps to resolve Inadequate Firewall Configurations,1687727.5,KPI,User_8,2024-04-24 12:32:00,file_access,FR,FR,900,26,24,695.0,15.836,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red
