Issue Name,CPU Usage %,Defense Action,Threat Level,Issue Key,Threat Score,Remediation Steps,Issue Volume,Risk Level,Status,Session Duration in Second,Impact Score,Date Resolved,Memory Usage MB,Assignees,Data Transfer MB,User ID,Timestamps,Issue Response Time Days,KPI/KRI,Issue ID,Category,IP Location,Reporters,Num Files Accessed,Department Affected,Is Anomaly,Cost,Severity,User Location,Date Reported,Login Attempts,Activity Type,Color
Delayed Patching of Known Vulnerabilities,44.484604141536266,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,High,KEY-0001,7.0,Steps to resolve Delayed Patching of Known Vulnerabilities,1,Critical,In Progress,394,10,2025-11-15 22:27:57.042371,3576.5250253349104,Assignee 5,9.032224890034865,User_51,2023-01-01 19:13:00,16,KPI,ISSUE-0001,Vulnerability Remediation,USA,Reporter 10,4,Sales,0,26383.811357945837,Critical,DE,2023-01-01 17:51:00,6.37291951055265,data_modification,Red
Outdated Operating System Components,28.612644032454174,Log for Reference,Low,KEY-0002,3.5999999999999996,Steps to resolve Outdated Operating System Components,1,Medium,Resolved,10,4,2023-01-06 08:17:00.000000,3536.4586587854014,Assignee 6,0.1,User_40,2023-01-02 10:34:00,4,KPI,ISSUE-0002,System Vulnerability,UK,Reporter 10,1,HR,0,9663.52770490311,Medium,UK,2023-01-02 08:17:00,5.844739318543663,login,Green-Yellow
Increased Exposure due to Insufficient Data Encryption,32.585636821893445,No Action Needed,Low,KEY-0003,3.2499999999999996,Steps to resolve Increased Exposure due to Insufficient Data Encryption,1,Medium,In Progress,1478,5,2025-12-17 22:27:57.042371,11784.180049556755,Assignee 1,0.2655000850996441,User_17,2023-01-04 18:31:00,5,KRI,ISSUE-0003,Risk Exposure,CN,Reporter 10,3,Legal,0,2009.9646519316202,Low,CN,2023-01-03 21:38:00,3.4070589062882686,data_modification,Green
Outdated Operating System Components,13.686918781158418,No Action Needed,Low,KEY-0004,3.05,Steps to resolve Outdated Operating System Components,1,Medium,Open,281,4,2026-02-28 22:27:57.042371,4297.978624912019,Assignee 6,9.437520230940827,User_89,2023-01-04 23:52:00,8,KPI,ISSUE-0004,System Vulnerability,EU,Reporter 1,5,Sales,0,8798.484418581324,Low,FR,2023-01-04 10:05:00,7.946272305425906,data_modification,Green
Sensitive Data Leak via Misconfigured Cloud Storage,30.126446498118536,Routine Monitoring,Medium,KEY-0005,5.6499999999999995,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,1,Critical,Open,1337,9,2026-03-16 22:27:57.042371,11509.759692670426,Assignee 16,0.2839536454597397,User_12,2023-01-05 23:18:00,7,KRI,ISSUE-0005,Data Leak,DE,Reporter 5,1,HR,0,12055.275399842689,Medium,Unknown,2023-01-05 22:40:00,7.227362029158963,login,Yellow
Successful Phishing Attempt Targeting Executives,44.080953921226175,No Action Needed,Low,KEY-0006,3.55,Steps to resolve Successful Phishing Attempt Targeting Executives,1,Medium,Resolved,2078,5,2023-01-13 17:36:00.000000,13290.55389194252,Assignee 3,2.1524352365160673,User_43,2023-01-07 05:28:00,7,KRI,ISSUE-0006,Phishing Attack,FR,Reporter 1,12,Sales,0,9446.731301415866,Low,CANADA,2023-01-06 17:36:00,8.932240812500638,file_access,Green
Insufficient Access Control Measures,38.46635455915432,Routine Monitoring,Medium,KEY-0007,4.8500000000000005,Steps to resolve Insufficient Access Control Measures,1,High,Closed,2060,6,2023-01-12 06:15:00.000000,14039.621806801728,Assignee 4,6.6686513033950545,User_3,2023-01-07 23:58:00,5,KPI,ISSUE-0007,Control Effectiveness,AU,Reporter 3,9,Legal,0,8894.637253305853,Medium,Unknown,2023-01-07 06:15:00,5.892273223046143,file_access,Yellow
Increased Exposure due to Insufficient Data Encryption,33.75068640761308,No Action Needed,Low,KEY-0008,3.1499999999999995,Steps to resolve Increased Exposure due to Insufficient Data Encryption,1,Medium,Open,1805,4,2026-01-15 22:27:57.042371,12134.7695433037,Assignee 5,17.42813958225344,User_62,2023-01-08 23:59:00,5,KRI,ISSUE-0008,Risk Exposure,DE,Reporter 9,4,Legal,0,2856.789235777278,Low,DE,2023-01-08 14:09:00,10.128029742272478,data_modification,Green
Access by Unauthorized Personnel Detected,18.080991897576105,Escalate to SOC & Restrict Critical System Access,High,KEY-0009,7.15,Steps to resolve Access by Unauthorized Personnel Detected,1,Critical,Open,665,10,2025-11-05 22:27:57.042371,8557.904767100665,Assignee 9,5.696134454777209,User_74,2023-01-09 23:25:00,18,KRI,ISSUE-0009,Unauthorized Access,UK,Reporter 10,7,HR,0,68262.01258528816,Critical,JP,2023-01-09 17:03:00,4.827414369369784,data_modification,Red
Successful Phishing Attempt Targeting Executives,55.86887461931821,Escalate to SOC & Restrict Critical System Access | Lock Account & Alert,High,KEY-0010,7.35,Steps to resolve Successful Phishing Attempt Targeting Executives,1,Critical,In Progress,542,10,2025-12-04 22:27:57.042371,6664.11308637527,Assignee 4,12.967219102408427,User_59,2023-01-11 22:33:00,24,KRI,ISSUE-0010,Phishing Attack,UK,Reporter 3,11,HR,0,29158.023264647432,Critical,Unknown,2023-01-10 22:36:00,9.891931365910251,data_modification,Red
