Issue ID,Issue Key,Issue Name,Issue Volume,Category,Severity,Status,Reporters,Assignees,Date Reported,Date Resolved,Issue Response Time Days,Impact Score,Risk Level,Department Affected,Remediation Steps,Cost,KPI/KRI,User ID,Timestamps,Activity Type,User Location,IP Location,Session Duration in Second,Num Files Accessed,Login Attempts,Data Transfer MB,Threat Score,Threat Level,Defense Action,Color
ISSUE-0001,KEY-0001,Delayed Patching of Known Vulnerabilities,1,Vulnerability Remediation,High,Resolved,Reporter 4,Assignee 19,2023-03-18,2023-03-23 00:00:00.000000,5,59.59,Critical,Finance,Steps to resolve Delayed Patching of Known Vulnerabilities,2747888.0,KPI,User_46,2023-03-18 20:29:00,file_access,EU,EU,900,26,13,1217.0,17.618000000000002,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0002,KEY-0002,Sensitive Data Leak via Misconfigured Cloud Storage,1,Data Leak,Medium,Resolved,Reporter 3,Assignee 10,2024-09-12,2024-09-13 00:00:00.000000,1,44.35,Critical,External Contractors,Steps to resolve Sensitive Data Leak via Misconfigured Cloud Storage,1809997.5,KRI,User_2,2024-09-12 21:47:00,data_modification,JP,FR,900,26,18,4047.5,13.47,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red
ISSUE-0003,KEY-0003,Missing or Inaccurate Asset Records,1,Asset Inventory Accuracy,Medium,Resolved,Reporter 5,Assignee 19,2024-12-27,2025-01-05 00:00:00.000000,9,57.63,Critical,IT,Steps to resolve Missing or Inaccurate Asset Records,1720390.0,KPI,User_30,2024-12-27 03:22:00,file_access,IN,IN,900,26,15,1095.0,16.526000000000003,Critical,Isolate Affected System & Restrict User Access | Lock Account & Alert | Limit Data Transfer,Orange-Red
ISSUE-0004,KEY-0004,Supplier Security Compliance Gaps,1,Procurement Security,High,Closed,Reporter 6,Assignee 15,2024-10-25,2024-11-04 00:00:00.000000,10,2.0,Low,HR,Steps to resolve Supplier Security Compliance Gaps,1065893.0,KPI,User_72,2024-10-25 10:04:00,data_modification,CANADA,CANADA,900,26,10,4316.0,4.699999999999999,Medium,Schedule Investigation | Limit Data Transfer,Yellow-Orange
ISSUE-0005,KEY-0005,Increased Exposure due to Insufficient Data Encryption,1,Risk Exposure,Critical,Resolved,Reporter 1,Assignee 19,2024-10-25,2024-10-31 00:00:00.000000,6,37.15,Critical,Legal,Steps to resolve Increased Exposure due to Insufficient Data Encryption,2667386.0,KRI,User_18,2024-10-25 22:22:00,login,JP,JP,900,31,3,8639.0,13.33,Critical,Immediate System-wide Shutdown & Investigation | Limit Data Transfer,Dark Red
ISSUE-0006,KEY-0006,Unauthorized Access Leading to Data Exposure,1,Data Breach,High,Resolved,Reporter 6,Assignee 19,2024-06-13,2024-06-17 00:00:00.000000,4,30.67,Critical,C-Suite Executives,Steps to resolve Unauthorized Access Leading to Data Exposure,378851.0,KRI,User_68,2024-06-13 23:14:00,login,FR,FR,2824,26,13,4997.0,11.834000000000001,Critical,Escalate to Security Operations Center (SOC) & Block User | Lock Account & Alert | Limit Data Transfer,Red
ISSUE-0007,KEY-0007,Detected Malware Infiltration in Internal Systems,1,Malware,Low,In Progress,Reporter 2,Assignee 13,2023-07-10,2024-12-31 22:33:01.735013,540,111.06,Critical,HR,Steps to resolve Detected Malware Infiltration in Internal Systems,2429912.5,KRI,User_47,2023-07-10 23:19:00,login,Unknown,EU,1202,27,6,702.5,26.312000000000005,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange
ISSUE-0008,KEY-0008,Incomplete Risk Management Framework,1,Risk Management Maturity,Critical,Resolved,Reporter 5,Assignee 19,2023-05-18,2023-05-21 00:00:00.000000,3,76.56,Critical,Sales,Steps to resolve Incomplete Risk Management Framework,2345645.0,KPI,User_83,2023-05-18 02:47:00,data_modification,Unknown,Unknown,1748,28,24,1679.0,21.412000000000003,Critical,Immediate System-wide Shutdown & Investigation | Lock Account & Alert | Limit Data Transfer,Dark Red
ISSUE-0009,KEY-0009,Weak Cloud Storage Access Controls,1,Cloud Security Posture,Low,Open,Reporter 6,Assignee 7,2024-04-06,2024-12-31 22:33:01.735013,269,92.35,Critical,C-Suite Executives,Steps to resolve Weak Cloud Storage Access Controls,2275190.0,KRI,User_45,2024-04-06 13:30:00,data_modification,CN,CN,1588,26,9,2767.5,22.57,Critical,Increase Monitoring & Schedule Review | Lock Account & Alert | Limit Data Transfer,Orange
ISSUE-0010,KEY-0010,Insufficient Coverage in Annual Risk Assessment,1,Risk Assessment Coverage,Low,In Progress,Reporter 1,Assignee 2,2023-05-08,2024-12-31 22:33:01.735013,603,85.29,Critical,Operations,Steps to resolve Insufficient Coverage in Annual Risk Assessment,904937.5,KPI,User_9,2023-05-08 15:56:00,file_access,CN,CN,1605,26,3,857.5,20.758000000000006,Critical,Increase Monitoring & Schedule Review | Limit Data Transfer,Orange
